airline_name_norm,fleet_size
tarco air,22
tarom,14
tarp aviation,6
tashkent air,1
tassili airlines,46
tatrajet,1
tbilisi airways,1
team global express,14
terra avia,8
texel air,8
tez jet airlines,6
thai airways,170
thai lion air,58
thalair,3
the kings helicopter flight,2
the little jet company,10
thrive,34
thrust flight,82
thunder airlines,13
tianjin air cargo,5
tianjin airlines,182
tibet airlines,94
tigerair taiwan,34
time air,18
titan airways,14
toki air,13
toos airlines,5
topflight aeroservices,2
total express,1
total linhas aereas,8
toyo aviation,8
trade air,10
tradewind aviation,70
trans air congo,8
trans guyana airways,26
trans island airways,4
trans maldivian airways,122
transair,14
transavia,284
transaviabaltika,4
transcarga international airways,1
transnusa,20
transporte aereo de colombia,1
transportes aereos pegaso,19
transwing,1
travel management company,2
travira air,28
trident aircraft,16
trigana air,9
tropic air,17
tropic ocean airways,1
tui fly,252
tulpar air,8
tulpar aircompany,10
tunisair,42
tunisia air force,8
turkey air force,36
turkish airlines,766
turkmenistan airlines,38
turkmenistan government,4
turpial airlines,6
tus air,6
tway air,86
twin jet,26
tyrol air ambulance,10
tyrolean jet services,10
uganda airlines,14
ukraine air alliance,6
ukraine international airlines,12
ukraine state air traffic service,2
uls airlines cargo,8
ultimate jet,16
umzaxpress,2
und aerospace,154
uni air,28
unicair,32
unifly,4
unifly heliworx,2
union aviation,20
united airlines,2981
united arab emirates air force,61
united aviate academy,50
united eagle,2
united kingdom air ambulance,50
united kingdom army air corps,151
united kingdom coast guard,3
united kingdom national police air service,5
united kingdom royal air force,774
united kingdom royal air force air transport,116
united kingdom royal navy,107
united kingdom uk royalvip flights,3
united nations,80
united nigeria airlines,4
united states air force,7570
united states california department of forestry,75
united states coast guard,231
united states department of justice,6
united states department of state,16
united states florida forest service,38
united states maryland state police,11
united states nasa,118
united states north carolina forest service,23
united states south carolina aeronautics comm,3
united states tennessee valley authority,2
united states us department of interior,39
united states us forest service,21
united states us immigration and customs enforcement,229
universal air,8
university of central missouri aviation,19
university of oklahoma school of aviation,33
uniworld air cargo,4
ups,572
ur airlines,10
ural airlines,104
urumqi air,32
usa jet airlines,36
usbangla airlines,40
usc,2
utair,128
uvt aero,16
uzbekistan airways,48
valair,6
valljet,40
valuejet,6
van air europe,2
varesh airlines,16
vasco,8
venezolana,8
ventura,40
venture aviation group,10
venture west aviation,15
verijet,20
veterans airlift command,1
via air,6
victory air,10
vieques air link,26
vietjet air,214
vietnam airlines,184
vietravel airlines,4
virgin atlantic,90
virgin australia,212
vista america,150
vistajet,282
viva,88
voepass,10
volare aviation,10
volaris,296
volato,22
volgadnepr airlines,30
volotea,84
voluxis,6
voyageur airways,60
vueling,282
vw air service,4
wamos air,18
warbelows air ventures,12
wasaya airways,34
wejet,1
weltall avia,6
wermlandsflyg,4
west air,90
west atlantic,22
west coast charters,34
west link airlines,1
westair aviation,14
western air,16
western air express,6
western aircraft,10
western global airlines,40
western michigan university college of aviation,72
westjet,384
wheels up,286
white,6
wideroe,100
wiggins airways,22
wiking helikopter service,2
winair,16
windrose air jetcharter,4
windrose airlines,32
wing aviation,20
wingo,18
wings air,104
wizz air,480
woodgate aviation,4
world atlantic airlines,16
world cargo airlines,3
world2fly,14
worldwide jet charter,6
wright air service,18
xcel jet,5
xe jet,2
xead aviation,1
xena,2
xiamen air,354
xinjiang general aviation,3
xinjiang skylink general aviation,1
xo,40
yakutia airlines,22
yamal airlines,50
yanair,6
yazd airways,5
yellow wings air services,4
yemenia,8
yeti airlines,14
yto cargo airlines,26
z air,10
zafer air,2
zagros airlines,28
zambia airways,2
zenflight,12
zenith aviation,8
zetavia,2
zeusch aviation,7
zil air,1
zimex aviation,36
zipair,16
zondajet,2
zooom,4
zorte air,1
zyb lily jet,12
